b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013,x,y
-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,15,2
-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,16,1
-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,2
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,1
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,1
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,2
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,1
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,2
-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,1
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,1
-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,2
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,1
-200,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,1
-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,1
-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,1
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,2
-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10,3
-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10,3
-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10,3
-200,-63,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10,3
-200,-63,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10,3
-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-72,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-200,-82,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-75,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,11,3
-200,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-75,-75,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,3
-200,-200,-65,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-66,-200,-80,-75,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-64,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-64,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-70,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,13,3
-200,-200,-70,-200,-81,-77,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-72,-200,-82,-75,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-75,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-69,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-71,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,14,3
-200,-200,-76,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,15,3
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,3
-200,-200,-78,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,3
-200,-200,-82,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,3
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-79,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,3
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,3
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,3
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,3
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,3
-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,3
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,3
-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,4
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,4
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,21,4
-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,20,4
-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-200,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-81,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-80,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,19,4
-200,-200,-81,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,4
-200,-200,-80,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,4
-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,4
-200,-200,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,4
-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,18,4
-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-200,-75,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-200,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-78,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-78,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,17,4
-200,-200,-75,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,17,4
-200,-78,-73,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,17,4
-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,4
-200,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,4
-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,4
-200,-79,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,16,4
-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-77,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-76,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-76,-67,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-80,-62,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-76,-63,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-72,-57,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-76,-64,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-76,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,15,4
-200,-80,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,14,4
-200,-80,-61,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,14,4
-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,14,4
-200,-75,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,14,4
-200,-74,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,14,4
-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-71,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13,4
-200,-71,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-69,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,12,4
-200,-66,-82,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,11,4
